Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.821415,0.151261,0.0365134,4.1484,0.0183075,6.63325e-06,0.127774,0.00370457,0,9.22786e-06,0,4.86741,0.00636462,8.34862e-05,4.14961
1.25893,0.805416,0.153147,0.0409255,4.14734,0.020696,1.02845e-05,0.112857,0.00366324,0,9.22786e-06,0,4.86357,0.00889969,9.42263e-05,4.14601
1.58489,0.795986,0.154037,0.0455448,4.14605,0.021864,1.64858e-05,0.105232,0.00352112,0,9.22786e-06,0,4.85398,0.0102721,9.9703e-05,4.1433
1.99526,0.787113,0.154778,0.0508031,4.14472,0.0226795,1.64858e-05,0.0987408,0.00336987,0,9.22786e-06,0,4.8439,0.011398,0.000111873,4.14085
2.51189,0.779056,0.155492,0.0564991,4.14324,0.023446,1.64858e-05,0.0930316,0.00325208,0,9.22786e-06,0,4.83312,0.0126271,0.000133109,4.1381
3.16228,0.771603,0.156335,0.0619824,4.14162,0.0240634,1.73237e-05,0.0880767,0.00313013,0,9.22786e-06,0,4.82149,0.0138636,0.000157962,4.13521
3.98107,0.764435,0.157182,0.0684951,4.13948,0.024603,1.73237e-05,0.0837388,0.00308247,0,9.22786e-06,0,4.80879,0.0152793,0.000174707,4.13169
5.01187,0.757127,0.158021,0.0748231,4.13738,0.0248684,1.73237e-05,0.0796832,0.00308861,0,9.22786e-06,0,4.7955,0.0171475,0.000188237,4.12771
6.30957,0.750345,0.158746,0.0819004,4.13512,0.0252753,1.73237e-05,0.0761209,0.00298239,0,9.22786e-06,0,4.7802,0.019003,0.000197674,4.12356
7.94328,0.743539,0.159549,0.0892183,4.13274,0.0255781,1.73237e-05,0.0727522,0.00301013,0,9.22786e-06,0,4.76254,0.021394,0.000206734,4.11878
10,0.736047,0.160506,0.0966453,4.13049,0.0258865,2.26304e-05,0.0694397,0.0029503,0,9.22786e-06,0,4.74429,0.0237759,0.000211431,4.11417
12.5893,0.72853,0.161409,0.104523,4.12773,0.026269,3.87435e-05,0.0661135,0.0029474,0,9.22786e-06,0,4.72241,0.0262999,0.000249682,4.10883
15.8489,0.721188,0.162148,0.11345,4.12472,0.0263763,4.80927e-05,0.0632968,0.00299528,1.31213e-05,9.22786e-06,0,4.69761,0.0290375,0.000329742,4.10296
19.9526,0.713294,0.163168,0.123034,4.12132,0.0267524,5.26474e-05,0.0602447,0.0030725,1.31213e-05,9.22786e-06,0,4.67114,0.0321305,0.0003572,4.09643
25.1189,0.706028,0.164383,0.133541,4.11758,0.0269009,7.40027e-05,0.0576747,0.00323521,1.38214e-05,9.22786e-06,0,4.64121,0.0360034,0.000391742,4.08877
31.6228,0.698061,0.165603,0.144791,4.11261,0.0272116,7.75259e-05,0.0548318,0.00328314,1.38214e-05,9.22786e-06,0,4.60846,0.039639,0.000465558,4.08007
39.8107,0.690256,0.166827,0.157406,4.10703,0.0274877,8.56877e-05,0.0522344,0.00340738,1.55231e-05,9.22786e-06,0,4.57146,0.0437516,0.000576139,4.07028
50.1187,0.682097,0.168481,0.171548,4.10067,0.0279045,9.25697e-05,0.0494886,0.00359743,1.97371e-05,9.22786e-06,0,4.52961,0.0492953,0.000677955,4.05823
