Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.819656,0.154564,0.037214,4.14653,0.0184034,1.1635e-05,0.127763,0.00332464,0,0,0,4.87027,0.00646799,4.17535e-05,4.14788
1.25893,0.803302,0.156366,0.0419858,4.14536,0.0205842,1.1635e-05,0.112391,0.00322815,0,0,0,4.8669,0.00909028,6.27165e-05,4.14405
1.58489,0.793906,0.15736,0.0466426,4.14407,0.0215824,1.1635e-05,0.104728,0.00318763,0,0,0,4.85744,0.010452,7.51755e-05,4.1414
1.99526,0.785203,0.158077,0.0517783,4.14269,0.0223823,1.1635e-05,0.0980634,0.00319029,0,0,0,4.84693,0.0116409,9.33408e-05,4.13881
2.51189,0.777044,0.158821,0.0576916,4.14093,0.022828,1.1635e-05,0.0923424,0.00312233,0,0,0,4.8365,0.0127906,0.000118757,4.13586
3.16228,0.769362,0.159639,0.0633866,4.1391,0.0232257,1.1635e-05,0.0873664,0.00305008,0,0,0,4.82559,0.0142294,0.000118757,4.1326
3.98107,0.761782,0.160434,0.069971,4.13726,0.0237648,1.1635e-05,0.0826018,0.00306847,0,0,0,4.81283,0.0158649,0.000132878,4.12912
5.01187,0.754882,0.16125,0.0763554,4.13521,0.0240602,1.1635e-05,0.0787646,0.00306038,0,0,0,4.79902,0.0178479,0.000132878,4.12508
6.30957,0.74759,0.162093,0.0833326,4.13332,0.0244747,1.1635e-05,0.07508,0.00297409,0,0,0,4.78329,0.0200044,0.000139812,4.12103
7.94328,0.740589,0.162906,0.090676,4.13135,0.0249362,1.71274e-05,0.0716386,0.00295309,0,0,0,4.76514,0.0225184,0.000147136,4.11652
10,0.733532,0.163733,0.0979765,4.12899,0.0252494,1.99072e-05,0.0684232,0.00292443,0,0,0,4.74595,0.0249031,0.000172794,4.11176
12.5893,0.726176,0.164744,0.106067,4.12603,0.0255908,1.23093e-05,0.0651878,0.00290718,0,0,0,4.72477,0.0275309,0.000205614,4.10612
15.8489,0.718729,0.16575,0.114937,4.12289,0.0258018,1.23093e-05,0.0622691,0.0029032,1.71898e-05,1.50915e-06,0,4.70131,0.0301045,0.000237065,4.10037
19.9526,0.711441,0.166923,0.124292,4.11923,0.0261762,1.80255e-05,0.0592025,0.00299455,2.44042e-05,1.50915e-06,0,4.67422,0.0334909,0.000252242,4.09335
25.1189,0.703451,0.168182,0.134833,4.11524,0.0265109,1.80255e-05,0.0565315,0.00302473,2.44042e-05,1.50915e-06,0,4.64424,0.0373062,0.000272538,4.0855
31.6228,0.695305,0.169452,0.146387,4.11054,0.0267094,2.87707e-05,0.0538101,0.00313159,2.44042e-05,1.50915e-06,0,4.61193,0.0410646,0.000310615,4.07697
39.8107,0.687449,0.170844,0.158497,4.1052,0.0272765,3.26813e-05,0.0512605,0.00316185,1.71898e-05,1.50915e-06,0,4.57494,0.0456113,0.000408107,4.06701
50.1187,0.679578,0.1722,0.172528,4.09898,0.0276842,2.59534e-05,0.0487247,0.00336022,1.86853e-05,1.50915e-06,0,4.53386,0.0503803,0.000502132,4.05593
63.0957,0.671562,0.173911,0.187393,4.09144,0.0277223,3.80426e-05,0.0467278,0.00358766,2.37296e-05,1.50915e-06,0,4.48724,0.0566413,0.00058948,4.04203
79.4328,0.663139,0.175728,0.203654,4.08341,0.0280206,5.31922e-05,0.0445987,0.00370086,4.02855e-05,1.50915e-06,0,4.43848,0.0630018,0.000718399,4.02746
100,0.655184,0.177819,0.220808,4.07353,0.0283565,6.82381e-05,0.0425293,0.0039031,4.22331e-05,1.50915e-06,0,4.38516,0.0703917,0.00091256,4.00999
125.892,0.647386,0.179965,0.239593,4.06277,0.0287255,9.40843e-05,0.0406182,0.00413437,7.25332e-05,1.50915e-06,0,4.3261,0.0788482,0.00120473,3.99041
158.489,0.63982,0.182511,0.25912,4.04982,0.0290711,0.000115737,0.0388234,0.004437,6.73894e-05,1.50915e-06,0,4.26313,0.0879614,0.00150607,3.96801
199.526,0.633674,0.18523,0.278917,4.03449,0.0293701,0.000159285,0.0371001,0.00481491,8.283e-05,1.50915e-06,0,4.1973,0.0975285,0.00185627,3.94279
251.189,0.627921,0.188086,0.299861,4.01826,0.0297018,0.000175347,0.0355403,0.00502982,9.76691e-05,1.04019e-05,0,4.12824,0.108811,0.00226469,3.91479
316.228,0.622793,0.191304,0.320544,3.99975,0.0299208,0.000209803,0.0340309,0.00539345,0.000125937,1.04019e-05,0,4.05848,0.119866,0.00284885,3.88459
398.107,0.61983,0.194743,0.340978,3.97869,0.0299822,0.000316906,0.032733,0.00579372,0.000133824,1.04019e-05,0,3.9874,0.131558,0.00352473,3.85106
501.187,0.616887,0.198853,0.361903,3.95675,0.0300933,0.000442758,0.0314752,0.00617323,0.00012954,1.04019e-05,0,3.9136,0.146145,0.00423172,3.81371
630.957,0.615072,0.202955,0.381893,3.93304,0.0301108,0.000566492,0.0303496,0.0065863,0.000199738,1.04019e-05,0,3.84004,0.160279,0.00505653,3.77485
794.328,0.61385,0.207233,0.400963,3.90755,0.0300492,0.000634824,0.0293338,0.00689832,0.000240308,1.04019e-05,0,3.7673,0.174988,0.00601622,3.7336
999.999,0.612747,0.211902,0.4188,3.88172,0.0300827,0.000770851,0.0282831,0.00722471,0.000310179,1.04019e-05,0,3.697,0.191337,0.00692296,3.69032
