Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.822318,0.152114,0.0361357,4.14194,0.0186795,0,0.127566,0.00379743,0,3.44195e-07,0,4.86312,0.00654533,9.12952e-05,4.14317
1.25893,0.806744,0.153745,0.0408798,4.14088,0.0210283,0,0.112569,0.00370182,0,3.44195e-07,0,4.85926,0.00872029,0.000124709,4.13992
1.58489,0.797222,0.15445,0.0455677,4.13966,0.022071,0,0.104992,0.00354119,0,3.44195e-07,0,4.85028,0.00996033,0.000124709,4.13744
1.99526,0.788671,0.155267,0.0507291,4.13809,0.0227624,0,0.0984312,0.00345709,0,3.44195e-07,0,4.84001,0.0110639,0.000124709,4.13473
2.51189,0.780575,0.155975,0.0564375,4.13652,0.0234763,0,0.0926661,0.0033108,0,3.44195e-07,0,4.8289,0.0122182,0.000132379,4.13201
3.16228,0.773177,0.156818,0.0626698,4.13473,0.0240104,0,0.0880603,0.00323762,0,3.44195e-07,0,4.81722,0.0134098,0.000142888,4.12906
3.98107,0.765871,0.157616,0.0688943,4.13295,0.0244175,0,0.0835663,0.00326431,0,3.44195e-07,0,4.80514,0.0150539,0.000142888,4.12561
5.01187,0.758996,0.158321,0.0755086,4.13089,0.0250245,0,0.0794046,0.00321472,0,3.44195e-07,0,4.7915,0.0168954,0.000165631,4.12167
6.30957,0.752593,0.159115,0.0823694,4.12857,0.0254707,4.08028e-07,0.0757872,0.00319544,0,3.44195e-07,0,4.77574,0.0188478,0.000192567,4.11739
7.94328,0.745287,0.159931,0.089476,4.12625,0.0258345,4.08028e-07,0.0719873,0.00316134,0,3.44195e-07,0,4.75871,0.0211884,0.000205972,4.11274
10,0.738201,0.160783,0.0968203,4.12372,0.0261831,4.08028e-07,0.0683694,0.00319882,5.45168e-07,3.44195e-07,0,4.73993,0.023553,0.000212507,4.10787
12.5893,0.731436,0.161603,0.104599,4.12115,0.0265921,5.73664e-06,0.0650834,0.00317763,5.45168e-07,3.44195e-07,0,4.71907,0.0263188,0.000238157,4.10249
15.8489,0.723783,0.162621,0.113543,4.1182,0.026979,1.37955e-06,0.0619193,0.00315494,8.05309e-06,3.44195e-07,0,4.69453,0.0294232,0.000295592,4.09636
19.9526,0.716219,0.163691,0.123322,4.11467,0.0272163,1.92471e-06,0.0591167,0.00320427,7.50792e-06,3.44195e-07,0,4.66726,0.0327835,0.000318975,4.08946
25.1189,0.70831,0.164885,0.134215,4.11077,0.0274688,5.62033e-06,0.0561392,0.0032692,8.47944e-06,3.44195e-07,0,4.63751,0.0361977,0.000372382,4.08206
31.6228,0.700023,0.166163,0.145485,4.1064,0.0278591,5.62033e-06,0.0533363,0.00326999,8.47944e-06,3.44195e-07,0,4.60436,0.0404064,0.000437387,4.07345
39.8107,0.692432,0.167556,0.158616,4.10093,0.0282243,1.44853e-05,0.0510972,0.00339215,8.47944e-06,3.44195e-07,0,4.56507,0.0455211,0.000536727,4.06276
50.1187,0.684281,0.169038,0.172685,4.09456,0.0284672,2.03092e-05,0.0484599,0.00351639,8.47944e-06,3.44195e-07,0,4.52405,0.0510367,0.000651297,4.05072
63.0957,0.675951,0.170806,0.187332,4.08704,0.0288866,1.84918e-05,0.0460669,0.00366843,8.47944e-06,3.44195e-07,0,4.47816,0.0575819,0.000743388,4.0366
79.4328,0.667486,0.172722,0.203859,4.07883,0.029337,2.78631e-05,0.0437018,0.00396339,1.9155e-05,3.44195e-07,0,4.42737,0.0641399,0.000919774,4.02163
100,0.659796,0.174747,0.220995,4.06904,0.0297211,2.78953e-05,0.041691,0.00419912,3.11233e-05,3.44195e-07,0,4.37235,0.0723445,0.00110423,4.00341
