Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.822805,0.154314,0.0379458,4.14637,0.0190971,0,0.127999,0.00353279,0,4.42462e-06,0,4.86783,0.00643704,9.68436e-05,4.14754
1.25893,0.806614,0.156214,0.0426811,4.14537,0.021338,6.46191e-06,0.113046,0.00343037,0,4.42462e-06,0,4.86369,0.00916232,9.32349e-05,4.14381
1.58489,0.796977,0.156956,0.0474686,4.14425,0.022188,6.46191e-06,0.105443,0.00339003,0,4.42462e-06,0,4.85527,0.0104382,0.000102927,4.1414
1.99526,0.788203,0.15786,0.052518,4.14279,0.0230349,6.46191e-06,0.0988117,0.00326306,0,4.42462e-06,0,4.84485,0.0116286,0.000102927,4.13875
2.51189,0.780161,0.158791,0.0577235,4.14136,0.0235176,6.46191e-06,0.0930558,0.00321291,0,4.42462e-06,0,4.83496,0.0128308,0.00011223,4.13613
3.16228,0.772714,0.159691,0.0636616,4.13975,0.0240582,1.54099e-05,0.0882578,0.00312102,0,4.42462e-06,0,4.82364,0.0142376,0.000115263,4.1331
3.98107,0.764881,0.160502,0.0699273,4.13779,0.024672,1.54099e-05,0.0832797,0.00310514,0,4.42462e-06,0,4.81161,0.0158847,0.000136929,4.12951
5.01187,0.75789,0.161346,0.0763903,4.13564,0.0250973,1.54099e-05,0.0791892,0.0031017,8.74277e-07,4.42462e-06,0,4.79824,0.0176094,0.000200167,4.12552
6.30957,0.750923,0.16228,0.0829885,4.13354,0.0252819,4.97222e-05,0.0755563,0.00306318,8.74277e-07,4.42462e-06,0,4.78309,0.0196803,0.000200904,4.12129
7.94328,0.744066,0.163193,0.090739,4.13085,0.0256175,4.97222e-05,0.0720887,0.00303628,8.74277e-07,4.42462e-06,0,4.76557,0.0221269,0.000211504,4.1162
10,0.736741,0.164217,0.0978803,4.12828,0.0260303,4.97222e-05,0.0684788,0.00306891,1.38608e-05,4.42462e-06,0,4.74685,0.025041,0.000230407,4.11068
12.5893,0.729207,0.165184,0.105809,4.1258,0.0264437,5.41661e-05,0.0653347,0.00302465,1.38608e-05,4.42462e-06,0,4.72576,0.0279572,0.000274382,4.10521
15.8489,0.721953,0.166094,0.11459,4.12271,0.0267305,5.41661e-05,0.0621377,0.00300268,1.38608e-05,4.42462e-06,0,4.70275,0.0303826,0.000289566,4.09967
19.9526,0.714537,0.167205,0.124237,4.11933,0.0270406,6.21649e-05,0.0591722,0.00311645,1.73806e-05,4.42462e-06,0,4.67567,0.0333622,0.000350263,4.09325
25.1189,0.706855,0.168415,0.134833,4.11516,0.0272595,7.23945e-05,0.0564051,0.00323712,4.39403e-06,4.42462e-06,0,4.64518,0.037142,0.000410394,4.08524
31.6228,0.698526,0.169609,0.146593,4.11071,0.0276552,9.41911e-05,0.0536674,0.00327062,8.74277e-07,4.42462e-06,0,4.61159,0.0412039,0.000493639,4.07658
39.8107,0.689986,0.171116,0.158516,4.10539,0.0279951,0.00010415,0.0508796,0.00342227,8.74277e-07,4.42462e-06,0,4.57477,0.0458407,0.000588175,4.0666
50.1187,0.681737,0.172511,0.171967,4.09927,0.0282541,0.000112284,0.0484815,0.00359269,8.74277e-07,4.42462e-06,0,4.53378,0.051138,0.00069798,4.05503
63.0957,0.673806,0.174202,0.187427,4.09197,0.0284356,0.000155693,0.0461527,0.00379711,1.89646e-05,4.42462e-06,0,4.48832,0.0567115,0.000871585,4.04192
79.4328,0.666617,0.175957,0.203952,4.08311,0.0287221,0.000174819,0.0440685,0.00401717,2.62853e-05,5.08215e-06,0,4.43901,0.063021,0.00101529,4.0266
100,0.659046,0.177651,0.221412,4.07346,0.0290406,0.000178048,0.0419822,0.00425984,2.96775e-05,5.08215e-06,0,4.38362,0.0708064,0.00128375,4.00888
125.892,0.650854,0.180107,0.239807,4.06235,0.0295967,0.000185861,0.0397132,0.00448976,4.24735e-05,5.08215e-06,0,4.3246,0.0796767,0.00151491,3.98864
158.489,0.643612,0.182565,0.259344,4.04937,0.0298025,0.000194899,0.0380156,0.00487912,3.99991e-05,5.08215e-06,0,4.26291,0.087851,0.00178698,3.96717
199.526,0.637137,0.185398,0.279913,4.0348,0.0300424,0.000235662,0.0363872,0.00520882,5.2755e-05,5.08215e-06,0,4.196,0.0984884,0.00222646,3.94152
251.189,0.631797,0.188335,0.300823,4.01843,0.0302082,0.000233908,0.0349459,0.00550688,6.62588e-05,5.08215e-06,0,4.12736,0.110191,0.00245432,3.9132
316.228,0.627246,0.191449,0.321976,3.99961,0.0301627,0.000283772,0.033587,0.00603221,8.73273e-05,5.08215e-06,0,4.05557,0.121878,0.00300954,3.88212
398.107,0.623466,0.19483,0.34291,3.97876,0.0302068,0.000316505,0.0322407,0.00638957,0.00011991,5.08215e-06,0,3.98297,0.133866,0.003631,3.84855
501.187,0.620573,0.198959,0.364018,3.95689,0.0302714,0.000384491,0.0311532,0.00675867,0.000165521,5.08215e-06,0,3.90883,0.148334,0.00431935,3.8114
630.957,0.618237,0.203119,0.383846,3.93295,0.0302005,0.000469853,0.0300845,0.00723075,0.000155453,5.08215e-06,0,3.83505,0.162234,0.00534906,3.77247
794.328,0.617041,0.207673,0.403313,3.90745,0.030152,0.000582793,0.0291885,0.00751473,0.000167086,1.14106e-05,0,3.76211,0.177515,0.00620127,3.7307
999.999,0.616524,0.212404,0.421282,3.88097,0.0298964,0.000709292,0.0283277,0.00798774,0.000242881,1.14106e-05,6.08327e-06,3.69158,0.192326,0.00736851,3.68805
1258.92,0.616288,0.217794,0.437206,3.85353,0.029662,0.000857215,0.0275613,0.0083154,0.000331928,1.14106e-05,0,3.62359,0.209526,0.00845524,3.64212
1584.89,0.618142,0.223008,0.451453,3.82351,0.0298067,0.000988675,0.0267322,0.00849397,0.000384564,1.14106e-05,0,3.55937,0.22541,0.00935814,3.59512
1995.26,0.619979,0.228426,0.46515,3.79426,0.0297448,0.00113329,0.0260372,0.00879309,0.000446144,1.14106e-05,0,3.49582,0.2422,0.0106496,3.54765
2511.89,0.622764,0.233812,0.476729,3.76447,0.0296125,0.00123751,0.0253156,0.00905921,0.00057761,1.14106e-05,0,3.43674,0.258913,0.0119473,3.49965
3162.28,0.625242,0.239173,0.487624,3.73624,0.0294755,0.00133529,0.0247315,0.00927403,0.000609039,1.14106e-05,0,3.38052,0.277228,0.0130396,3.45193
3981.07,0.627075,0.244973,0.49672,3.70802,0.0293758,0.00146659,0.0243318,0.00934795,0.000786689,1.14106e-05,0,3.32644,0.295963,0.0139966,3.40369
5011.87,0.630249,0.250909,0.504403,3.67936,0.0292339,0.00160547,0.0239448,0.0094809,0.000899702,1.14106e-05,8.04409e-07,3.27637,0.313719,0.0154324,3.35551
6309.57,0.632901,0.256477,0.511561,3.65285,0.0290981,0.001758,0.0235509,0.00959095,0.00093604,1.27603e-05,6.88036e-06,3.22975,0.331737,0.0163535,3.30985
7943.28,0.635768,0.262246,0.517342,3.62624,0.0289534,0.00192652,0.0231475,0.00970782,0.000983042,1.27603e-05,6.88036e-06,3.18554,0.349075,0.0178189,3.26431
9999.99,0.638369,0.268045,0.521833,3.60038,0.0287235,0.00207232,0.0228466,0.00971154,0.00112886,1.27603e-05,9.11356e-06,3.14607,0.366259,0.0186438,3.22021
12589.2,0.640119,0.273543,0.525729,3.57665,0.0285225,0.00213841,0.0225977,0.00967628,0.00134228,1.27603e-05,1.31833e-05,3.10952,0.383077,0.0193725,3.17889
15848.9,0.641886,0.279078,0.529235,3.554,0.0283754,0.00224486,0.0223565,0.00968451,0.00146479,1.27603e-05,1.46297e-05,3.07454,0.399945,0.0202367,3.13853
19952.6,0.643374,0.284274,0.531848,3.53241,0.0280649,0.00240497,0.0221524,0.00974294,0.00158327,1.27603e-05,1.9444e-05,3.04364,0.415218,0.0207689,3.10103
25118.8,0.645014,0.289161,0.534086,3.51195,0.0279185,0.00245974,0.0219692,0.00979332,0.00170953,1.27603e-05,1.20392e-05,3.01596,0.42856,0.0213837,3.06674
31622.8,0.646762,0.293491,0.536159,3.49335,0.0277666,0.00254268,0.0218641,0.00988189,0.00179682,1.27603e-05,1.3051e-05,2.99001,0.440707,0.0218806,3.03549
39810.7,0.647982,0.297919,0.53833,3.47631,0.0275512,0.00261504,0.0217381,0.00986902,0.00197041,1.27603e-05,1.86751e-05,2.966,0.452526,0.0225554,3.00599
50118.7,0.649009,0.301641,0.539485,3.46044,0.0273917,0.00268961,0.0215911,0.00988529,0.00206869,1.27603e-05,1.86751e-05,2.94544,0.463763,0.0228341,2.97938
63095.7,0.650168,0.305262,0.540804,3.44545,0.0270706,0.00268895,0.0214594,0.00984657,0.00240831,1.27603e-05,1.86751e-05,2.92738,0.47313,0.0230144,2.95511
79432.8,0.651256,0.308468,0.541858,3.4316,0.0267123,0.00266942,0.0212971,0.00986422,0.00275202,1.27603e-05,6.1362e-06,2.91072,0.482317,0.0229448,2.9327
99999.9,0.65216,0.311338,0.542586,3.41884,0.0262908,0.00262081,0.0211435,0.00988364,0.00316158,1.27603e-05,2.422e-06,2.89623,0.490594,0.0227456,2.91266
125892,0.652693,0.313952,0.54368,3.40692,0.0258145,0.00251524,0.0210621,0.00982796,0.00369058,2.44261e-05,2.422e-06,2.88245,0.498435,0.0224515,2.89413
158489,0.653532,0.316187,0.54439,3.39548,0.0252735,0.00242917,0.0209544,0.00980369,0.00422847,2.44261e-05,3.30678e-06,2.87109,0.504896,0.0219962,2.87785
199526,0.65444,0.318287,0.545033,3.38515,0.0247492,0.00238794,0.0208821,0.00985792,0.00469205,2.44261e-05,3.30678e-06,2.86138,0.511293,0.0211052,2.86341
251188,0.655573,0.320018,0.545735,3.37499,0.0240865,0.0023156,0.0208376,0.00987006,0.00532964,2.44261e-05,5.52131e-06,2.85233,0.516982,0.0201479,2.85028
316227,0.65633,0.321793,0.546314,3.36551,0.0232815,0.0021245,0.0207946,0.00987793,0.00610174,2.44261e-05,5.52131e-06,2.84532,0.522622,0.0188524,2.83815
398107,0.657007,0.323196,0.547124,3.35669,0.0225675,0.00191917,0.0207048,0.0098807,0.00681832,2.44261e-05,1.40118e-05,2.83863,0.527747,0.0173868,2.82774
