Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.82244,0.151602,0.0360608,4.14597,0.0191843,0,0.127089,0.00398895,0,0,0,4.86533,0.00633831,7.03194e-05,4.14724
1.25893,0.806606,0.153532,0.0407879,4.14471,0.0214153,2.61586e-06,0.112508,0.00384667,0,0,0,4.86093,0.00898181,7.53282e-05,4.14334
1.58489,0.797001,0.154392,0.0455464,4.14358,0.0222664,2.61586e-06,0.10493,0.00375541,0,0,0,4.85167,0.0102517,7.53282e-05,4.14095
1.99526,0.788374,0.155229,0.0506767,4.14225,0.0230429,2.61586e-06,0.0983343,0.00366748,0,0,0,4.84184,0.0114438,0.00010235,4.1384
2.51189,0.780458,0.155876,0.0565678,4.14051,0.0236476,5.95577e-06,0.0929617,0.00353305,0,0,0,4.83057,0.0126396,0.000109018,4.13545
3.16228,0.772889,0.156623,0.062831,4.13899,0.0242489,5.95577e-06,0.0880852,0.00341742,0,0,0,4.81928,0.0137904,0.00012245,4.13275
3.98107,0.765865,0.157358,0.0689304,4.13713,0.0247285,5.95577e-06,0.0838246,0.00337647,0,0,0,4.80598,0.0154594,0.00012245,4.12923
5.01187,0.758841,0.158162,0.0753686,4.13505,0.0253565,5.95577e-06,0.0796517,0.00335425,0,4.91525e-06,0,4.79223,0.0171452,0.000140091,4.12544
6.30957,0.752031,0.158941,0.0818006,4.13288,0.0257633,2.61586e-06,0.0760592,0.00329053,0,4.91525e-06,0,4.77678,0.0191859,0.000165844,4.1212
7.94328,0.745044,0.159764,0.0892212,4.13042,0.026277,2.61586e-06,0.0725334,0.0031575,0,4.91525e-06,0,4.75991,0.0213356,0.000194599,4.11659
10,0.737988,0.160515,0.0967576,4.12812,0.0265648,2.61586e-06,0.069295,0.00306922,0,4.91525e-06,0,4.74101,0.0236241,0.00021824,4.11195
12.5893,0.730581,0.161472,0.104773,4.12517,0.0269634,3.39786e-06,0.0658049,0.00306374,1.07105e-06,4.91525e-06,0,4.72041,0.0263184,0.000251569,4.10632
15.8489,0.72372,0.162593,0.113082,4.12209,0.0274381,1.17242e-05,0.0627655,0.00304349,1.07105e-06,4.91525e-06,0,4.69731,0.0290196,0.000271315,4.1005
19.9526,0.716321,0.163612,0.12242,4.1186,0.0278775,1.28011e-05,0.0599236,0.00295825,1.07105e-06,4.91525e-06,0,4.6707,0.0322201,0.00027364,4.09378
25.1189,0.709291,0.164662,0.133647,4.11473,0.028076,3.13229e-05,0.0572198,0.00309805,1.07105e-06,4.91525e-06,0,4.64028,0.0358478,0.000308723,4.08627
31.6228,0.701166,0.165917,0.145164,4.11033,0.0285031,4.68844e-05,0.0543616,0.00320853,1.07105e-06,4.91525e-06,0,4.60675,0.0396785,0.000353893,4.07795
39.8107,0.693594,0.16731,0.157587,4.10503,0.0287581,6.16431e-05,0.0519196,0.00336571,2.23279e-06,4.91525e-06,0,4.57001,0.0444611,0.000474541,4.06772
50.1187,0.685294,0.168778,0.171557,4.0991,0.0290138,7.76671e-05,0.0496185,0.00351999,8.31614e-07,4.91525e-06,0,4.52805,0.0500192,0.000559783,4.05611
63.0957,0.67657,0.170287,0.186805,4.09208,0.029364,0.000112675,0.0471909,0.0037525,8.31614e-07,4.91525e-06,0,4.48147,0.0562038,0.000645528,4.04281
79.4328,0.668356,0.172364,0.202374,4.08378,0.0295204,0.000127848,0.044852,0.00401314,8.14159e-06,4.91525e-06,0,4.43243,0.0637831,0.000772502,4.02682
100,0.660675,0.174479,0.220047,4.07385,0.0297104,0.000140802,0.0429075,0.00429171,1.61686e-05,4.91525e-06,0,4.37834,0.0710049,0.00103811,4.00934
