Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.819455,0.154447,0.0379814,4.14815,0.0188887,1.07789e-05,0.125633,0.00353364,0,4.72921e-06,0,4.87183,0.00649532,4.43106e-05,4.14941
1.25893,0.803748,0.156302,0.0427332,4.14697,0.0210529,1.07789e-05,0.110889,0.00349457,0,4.72921e-06,0,4.86766,0.00909249,5.67912e-05,4.14562
1.58489,0.794047,0.15713,0.0475918,4.1458,0.0219861,1.07789e-05,0.103292,0.00339154,0,4.72921e-06,0,4.85828,0.0103575,7.41705e-05,4.14316
1.99526,0.785028,0.157866,0.0530329,4.14463,0.0226536,1.64072e-05,0.0967026,0.00330274,0,4.72921e-06,0,4.84753,0.0116002,9.38337e-05,4.14072
2.51189,0.777054,0.158602,0.0585218,4.14268,0.0231363,1.64072e-05,0.0911159,0.00319429,9.17536e-06,4.72921e-06,0,4.83641,0.0126313,9.95317e-05,4.1377
3.16228,0.769965,0.159321,0.0647839,4.1409,0.0236598,1.64072e-05,0.0864692,0.00311029,9.17536e-06,4.72921e-06,0,4.82436,0.0140504,0.000114816,4.1345
3.98107,0.762928,0.16016,0.0713766,4.13894,0.0239006,1.64072e-05,0.0820154,0.0031278,9.17536e-06,4.72921e-06,0,4.81227,0.0158186,0.000133861,4.13079
5.01187,0.756285,0.160861,0.0781113,4.13687,0.0243213,1.64072e-05,0.078048,0.00315545,9.17536e-06,4.72921e-06,0,4.79814,0.0174781,0.000166446,4.127
6.30957,0.74927,0.161887,0.0849931,4.13505,0.0249013,1.64072e-05,0.0743091,0.00309138,9.17536e-06,4.72921e-06,0,4.78274,0.0199425,0.000198527,4.12266
7.94328,0.742048,0.162566,0.0924226,4.13284,0.0253851,1.64072e-05,0.0706238,0.003045,9.17536e-06,4.72921e-06,0,4.76507,0.0221883,0.000209545,4.11822
10,0.735515,0.163409,0.100048,4.13048,0.0257232,2.45949e-05,0.0672954,0.00308219,9.17536e-06,4.72921e-06,0,4.74562,0.0246798,0.000244095,4.11335
12.5893,0.728187,0.164346,0.108125,4.12773,0.0257972,2.45949e-05,0.0642391,0.00310395,9.17536e-06,4.72921e-06,0,4.72455,0.027224,0.000264228,4.10804
