Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.817354,0.152851,0.036532,4.14439,0.0180133,0,0.126742,0.00317154,0,0,0,4.86767,0.00641269,4.68514e-05,4.14581
1.25893,0.801367,0.154723,0.0412317,4.1434,0.020494,0,0.111674,0.00308069,0,0,0,4.86382,0.00892653,4.80818e-05,4.14231
1.58489,0.791645,0.155702,0.0457664,4.14218,0.0215078,0,0.104018,0.00292564,0,0,0,4.85504,0.0100988,5.58352e-05,4.13989
1.99526,0.782903,0.156364,0.0509811,4.14092,0.022309,3.18744e-06,0.0974962,0.00285485,0,0,0,4.84448,0.0111928,5.58352e-05,4.13753
2.51189,0.774712,0.157221,0.0562773,4.13945,0.0229006,3.18744e-06,0.0918088,0.00277737,1.139e-05,0,0,4.83408,0.0126247,7.18627e-05,4.13463
3.16228,0.766948,0.158083,0.0624992,4.1379,0.0232589,4.19954e-06,0.0867733,0.00277825,1.139e-05,0,0,4.82276,0.0139491,9.17575e-05,4.13172
3.98107,0.759621,0.158734,0.068906,4.13608,0.0235968,4.19954e-06,0.0821125,0.00271698,1.139e-05,0,0,4.81084,0.0155889,0.000115482,4.12824
5.01187,0.752784,0.159442,0.0754213,4.13392,0.024199,4.19954e-06,0.0778922,0.00264864,0,0,0,4.79775,0.0171895,0.000129997,4.1245
6.30957,0.745936,0.160206,0.0824225,4.13169,0.0245263,4.19954e-06,0.0741156,0.002655,0,0,0,4.7826,0.0192112,0.000148718,4.12021
7.94328,0.739091,0.161075,0.0889874,4.12971,0.0249253,3.18744e-06,0.070564,0.00264833,0,0,0,4.76553,0.0214711,0.0001693,4.11593
10,0.732084,0.16197,0.0967093,4.1272,0.0252217,8.17996e-06,0.0670235,0.00262841,0,0,0,4.74714,0.0238975,0.000197998,4.11096
12.5893,0.725291,0.162785,0.10512,4.12439,0.0253935,2.56242e-05,0.0641788,0.00265628,0,0,0,4.72525,0.0264002,0.000210608,4.10561
15.8489,0.717798,0.163806,0.114141,4.12132,0.0255816,2.56242e-05,0.0613,0.00268454,0,0,0,4.70108,0.0290912,0.000264043,4.09979
19.9526,0.710413,0.164968,0.123397,4.11806,0.0259349,2.06317e-05,0.0584091,0.00273736,0,0,0,4.67439,0.0324167,0.000305533,4.09319
25.1189,0.702794,0.166321,0.133914,4.11392,0.0263353,2.75162e-05,0.0554405,0.00282096,0,0,0,4.64517,0.0363636,0.000352776,4.08507
31.6228,0.69535,0.167411,0.145415,4.10949,0.0265748,3.38445e-05,0.0529344,0.00289864,8.87987e-06,0,0,4.61124,0.0406659,0.000378353,4.07631
39.8107,0.686978,0.168779,0.157893,4.10418,0.0268363,1.85499e-05,0.0503915,0.00299794,1.91395e-05,0,0,4.57495,0.0449412,0.000507356,4.06659
50.1187,0.678872,0.170331,0.171626,4.09784,0.0270509,3.79994e-05,0.0480386,0.003294,1.91395e-05,0,0,4.53358,0.0495973,0.000598909,4.05548
63.0957,0.671325,0.171959,0.186756,4.09061,0.0272903,5.42217e-05,0.0460836,0.00354256,1.91395e-05,0,0,4.48723,0.0559144,0.000731076,4.04178
