Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.819304,0.153317,0.0364011,4.14919,0.018444,4.21826e-06,0.127226,0.00360998,0,0,0,4.87181,0.0061008,8.86359e-05,4.15115
1.25893,0.803564,0.155051,0.0409985,4.14812,0.0206479,4.21826e-06,0.112384,0.00355492,0,0,0,4.86803,0.00846598,9.20704e-05,4.14773
1.58489,0.793749,0.155935,0.0461654,4.14694,0.0216896,4.21826e-06,0.104678,0.00340967,0,0,0,4.85881,0.00945168,0.000106492,4.14551
1.99526,0.785251,0.156737,0.0517763,4.14551,0.0222734,4.21826e-06,0.0985841,0.00329285,0,0,0,4.8481,0.0105537,0.000109048,4.14294
2.51189,0.776967,0.157523,0.0572437,4.14388,0.0229709,4.21826e-06,0.0927236,0.00322581,0,0,0,4.83668,0.0115274,0.000137858,4.14035
3.16228,0.769773,0.158308,0.0627702,4.14202,0.0233867,1.68358e-05,0.0881605,0.00311512,0,0,0,4.8251,0.0128198,0.000140892,4.13719
3.98107,0.762728,0.15917,0.0690229,4.13995,0.0240409,1.68358e-05,0.0835533,0.00303842,0,0,0,4.81344,0.0143123,0.000152524,4.13368
5.01187,0.75555,0.159955,0.0760856,4.13783,0.0244655,1.68358e-05,0.0796402,0.00294064,0,0,0,4.79934,0.0160701,0.000161486,4.12976
6.30957,0.748622,0.160829,0.083146,4.13565,0.0247935,1.68358e-05,0.0760995,0.00298065,0,0,0,4.78335,0.0181669,0.000164612,4.12548
7.94328,0.741922,0.161681,0.0907787,4.13336,0.0251171,1.68358e-05,0.0724693,0.00302794,0,0,0,4.76594,0.0204292,0.000195389,4.12087
10,0.735109,0.162533,0.0984654,4.1309,0.0253854,1.68358e-05,0.0691895,0.00312809,6.70097e-06,0,0,4.74674,0.0228229,0.000212068,4.11598
12.5893,0.728189,0.163393,0.106305,4.12808,0.0259149,2.1321e-05,0.065929,0.00303021,6.70097e-06,0,0,4.72532,0.0254623,0.000233112,4.11049
15.8489,0.72108,0.164538,0.114899,4.12472,0.0263451,2.1321e-05,0.0629819,0.00304223,6.70097e-06,0,0,4.70121,0.0286,0.000251203,4.10403
19.9526,0.713415,0.165633,0.124454,4.1214,0.0267165,3.37344e-05,0.0599383,0.00300548,6.70097e-06,0,0,4.6744,0.0319452,0.000284224,4.09729
25.1189,0.705708,0.166829,0.13527,4.1174,0.0271455,3.4515e-05,0.0571355,0.0029975,6.70097e-06,0,0,4.64403,0.0356727,0.000314247,4.08953
31.6228,0.697799,0.168182,0.146618,4.11256,0.0275952,3.77608e-05,0.0543938,0.00305668,6.70097e-06,0,0,4.60973,0.0399076,0.000376626,4.08039
